place;period;ave tg;max tx;min tn;Σsq;Σrh;tx>30;tx<0
Arcen;20220101-20220804;11.8°C;37.8°C 20220719;-5.4°C 20220719;1399.9hour;335.9mm;10;0;
Berkhout;20220101-20220804;11.0°C;34.4°C 20220719;-3.5°C 20220719;1509.7hour;386.6mm;2;0;
Cabauw Mast;20220101-20220804;11.3°C;35.9°C 20220719;-3.3°C 20220719;1518.6hour;444.3mm;2;0;
De Bilt;20220101-20220804;11.4°C;35.5°C 20220719;-4.4°C 20220719;1474.1hour;446.8mm;2;0;
De Kooy;20220101-20220804;11.1°C;36.1°C 20220719;-2.2°C 20220719;1575.0hour;348.1mm;1;0;
Deelen;20220101-20220804;11.1°C;37.7°C 20220719;-6.6°C 20220719;1392.4hour;461.7mm;6;0;
Eelde;20220101-20220804;10.5°C;35.6°C 20220719;-5.8°C 20220719;1340.9hour;398.8mm;4;0;
Eindhoven;20220101-20220804;11.8°C;38.3°C 20220719;-5.9°C 20220719;1447.6hour;342.9mm;7;0;
Ell;20220101-20220804;11.6°C;36.2°C 20220719;-4.5°C 20220719;1477.0hour;309.1mm;8;0;
Gilze-Rijen;20220101-20220804;11.7°C;38.1°C 20220719;-5.7°C 20220719;1461.2hour;390.6mm;7;0;
Heino;20220101-20220804;10.9°C;36.8°C 20220719;-4.9°C 20220719;1431.9hour;341.4mm;5;0;
Herwijnen;20220101-20220804;11.3°C;36.3°C 20220719;-5.8°C 20220719;1486.0hour;432.5mm;5;0;
Hoek van Holland;20220101-20220804;11.8°C;38.5°C 20220719;-0.7°C 20220719;1588.1hour;269.7mm;3;0;
Hoogeveen;20220101-20220804;10.7°C;36.5°C 20220719;-4.4°C 20220719;1361.5hour;473.5mm;4;0;
Hoorn Terschelling;20220101-20220804;10.5°C;32.5°C 20220719;-2.9°C 20220719;1491.7hour;458.1mm;1;0;
Hupsel;20220101-20220804;11.1°C;38.4°C 20220719;-5.6°C 20220719;1432.4hour;326.6mm;9;0;
Lauwersoog;20220101-20220804;11.0°C;35.2°C 20220719;-1.7°C 20220719;1430.9hour;437.5mm;1;0;
Leeuwarden;20220101-20220804;10.6°C;34.8°C 20220719;-4.9°C 20220719;1417.0hour;430.8mm;1;0;
Lelystad;20220101-20220804;11.2°C;36.2°C 20220719;-4.3°C 20220719;1471.1hour;423.4mm;3;0;
Maastricht;20220101-20220804;11.8°C;39.5°C 20220719;-5.2°C 20220719;1439.8hour;308.9mm;8;0;
Marknesse;20220101-20220804;11.0°C;36.0°C 20220719;-2.9°C 20220719;1423.1hour;415.4mm;3;0;
Nieuw Beerta;20220101-20220804;10.4°C;35.7°C 20220719;-4.9°C 20220719;1352.8hour;405.9mm;3;0;
Rotterdam;20220101-20220804;11.7°C;37.1°C 20220719;-3.9°C 20220719;1501.3hour;332.6mm;4;0;
Schiphol;20220101-20220804;11.6°C;35.5°C 20220719;-2.9°C 20220719;1505.2hour;374.6mm;3;0;
Stavoren;20220101-20220804;10.8°C;34.2°C 20220719;-3.8°C 20220719;1527.3hour;410.5mm;1;0;
Twenthe;20220101-20220804;11.2°C;38.0°C 20220719;-6.0°C 20220719;1398.7hour;378.0mm;7;0;
Vlieland;20220101-20220804;10.9°C;32.7°C 20220719;-3.0°C 20220719;.;.;1;0;
Vlissingen;20220101-20220804;12.0°C;33.6°C 20220719;0.3°C 20220719;1591.2hour;272.3mm;2;0;
Volkel;20220101-20220804;11.6°C;37.8°C 20220719;-5.2°C 20220719;1452.2hour;367.7mm;7;0;
Voorschoten;20220101-20220804;11.3°C;35.0°C 20220719;-4.8°C 20220719;1567.0hour;344.1mm;2;0;
Westdorpe;20220101-20220804;11.9°C;39.1°C 20220719;-2.5°C 20220719;1510.5hour;228.5mm;7;0;
Wijk aan Zee;20220101-20220804;11.3°C;37.3°C 20220719;-4.7°C 20220719;1554.8hour;321.1mm;1;0;
Wilhelminadorp;20220101-20220804;11.8°C;38.6°C 20220719;-1.3°C 20220719;1545.9hour;336.8mm;5;0;
Woensdrecht;20220101-20220804;11.6°C;38.8°C 20220719;-5.6°C 20220719;.;293.8mm;6;0;

